"Count","File"
"21","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\SyncApiMenusCommand.php"
"20","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\ImportExport\CustomerImportService.php"
"20","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Requests\system\SystemStorageRequest.php"
"20","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.5\2024_02_26_165638_create_system_crud_field_table.php"
"20","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v2.1\2025_09_17_150616_alter_customer_table.php"
"20","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Constants\CustomEnum\ContractEnum.php"
"20","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Dao\WorkExternalContact\WorkMediaDao.php"
"20","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Finance\BillLogService.php"
"20","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_folder_table.php"
"20","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_system_menus_table.php"
"19","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.7\2024_06_13_171432_update_apprve_table.php"
"19","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Requests\user\ScheduleRequest.php"
"19","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\System\SystemMenusService.php"
"19","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.2\2023_08_17_164033_create_attendance_remind_table.php"
"19","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Helpers\common.php"
"19","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_enterprise_file_table.php"
"19","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Requests\Crud\SystemCrudEventRequest.php"
"19","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.2\2023_06_28_103438_create_attendance_group_table.php"
"19","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_client_bill_table.php"
"18","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_system_config_table.php"
"18","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_enterprise_message_notice_table.php"
"18","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Requests\Traits\DynamicFormValidate.php"
