"File","Line","Code"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programList\index.vue","188","field_name: '关联订单',"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programList\index.vue","321","this.$modalSure('删除项目，同时会删除项目中的工作项！你确定要删除该项目吗').then(() => {"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","758","field_name: '任务名称',"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","763","field_name: '优先级',"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","794","field_name: '状态',"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","804","name: '未处理'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","808","name: '进行中'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","812","name: '已解决'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","816","name: '已验收'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","820","name: '已拒绝'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","824","name: '已关闭'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","829","field_name: '项目',"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","839","field_name: '版本',"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\program\programTask\index.vue","1468","this.$modalSure('删除任务，关联的子级任务均会被删除').then(() => {"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\setting\auth\group\index.vue","217","field_name: '姓名、电话号码',"
